gender,idg,condtn,partner,int_corr,samerace,age_o,race_o,age,field_cd,race,imprace,imprelig,income,goal,date,go_out,career_c,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,exphappy,attr1_1,sinc1_1,intel1_1,fun1_1,amb1_1,shar1_1
0.0,1.0,2.0,1.0,-12.0,1.0,25.0,4.0,28.0,6.0,4.0,2.0,2.0,4964200.0,2.0,4.0,2.0,16.0,6.0,3.0,6.0,7.0,7.0,7.0,3.0,3.0,4.0,6.0,4.0,4.0,8.0,5.0,7.0,7.0,7.0,6.0,10.0,20.0,30.0,10.0,10.0,20.0
0.0,1.0,2.0,2.0,3.0,1.0,26.0,4.0,28.0,6.0,4.0,2.0,2.0,4964200.0,2.0,4.0,2.0,16.0,6.0,3.0,6.0,7.0,7.0,7.0,3.0,3.0,4.0,6.0,4.0,4.0,8.0,5.0,7.0,7.0,7.0,6.0,10.0,20.0,30.0,10.0,10.0,20.0
0.0,1.0,2.0,3.0,37.0,0.0,26.0,2.0,28.0,6.0,4.0,2.0,2.0,4964200.0,2.0,4.0,2.0,16.0,6.0,3.0,6.0,7.0,7.0,7.0,3.0,3.0,4.0,6.0,4.0,4.0,8.0,5.0,7.0,7.0,7.0,6.0,10.0,20.0,30.0,10.0,10.0,20.0
0.0,1.0,2.0,4.0,11.0,0.0,24.0,6.0,28.0,6.0,4.0,2.0,2.0,4964200.0,2.0,4.0,2.0,16.0,6.0,3.0,6.0,7.0,7.0,7.0,3.0,3.0,4.0,6.0,4.0,4.0,8.0,5.0,7.0,7.0,7.0,6.0,10.0,20.0,30.0,10.0,10.0,20.0
0.0,1.0,2.0,5.0,39.0,0.0,23.0,2.0,28.0,6.0,4.0,2.0,2.0,4964200.0,2.0,4.0,2.0,16.0,6.0,3.0,6.0,7.0,7.0,7.0,3.0,3.0,4.0,6.0,4.0,4.0,8.0,5.0,7.0,7.0,7.0,6.0,10.0,20.0,30.0,10.0,10.0,20.0
0.0,1.0,2.0,6.0,84.0,0.0,29.0,2.0,28.0,6.0,4.0,2.0,2.0,4964200.0,2.0,4.0,2.0,16.0,6.0,3.0,6.0,7.0,7.0,7.0,3.0,3.0,4.0,6.0,4.0,4.0,8.0,5.0,7.0,7.0,7.0,6.0,10.0,20.0,30.0,10.0,10.0,20.0
0.0,1.0,2.0,7.0,67.0,1.0,22.0,4.0,28.0,6.0,4.0,2.0,2.0,4964200.0,2.0,4.0,2.0,16.0,6.0,3.0,6.0,7.0,7.0,7.0,3.0,3.0,4.0,6.0,4.0,4.0,8.0,5.0,7.0,7.0,7.0,6.0,10.0,20.0,30.0,10.0,10.0,20.0
0.0,1.0,2.0,8.0,36.0,0.0,32.0,2.0,28.0,6.0,4.0,2.0,2.0,4964200.0,2.0,4.0,2.0,16.0,6.0,3.0,6.0,7.0,7.0,7.0,3.0,3.0,4.0,6.0,4.0,4.0,8.0,5.0,7.0,7.0,7.0,6.0,10.0,20.0,30.0,10.0,10.0,20.0
0.0,1.0,2.0,9.0,58.0,0.0,22.0,2.0,28.0,6.0,4.0,2.0,2.0,4964200.0,2.0,4.0,2.0,16.0,6.0,3.0,6.0,7.0,7.0,7.0,3.0,3.0,4.0,6.0,4.0,4.0,8.0,5.0,7.0,7.0,7.0,6.0,10.0,20.0,30.0,10.0,10.0,20.0
0.0,1.0,2.0,10.0,1.0,0.0,24.0,2.0,28.0,6.0,4.0,2.0,2.0,4964200.0,2.0,4.0,2.0,16.0,6.0,3.0,6.0,7.0,7.0,7.0,3.0,3.0,4.0,6.0,4.0,4.0,8.0,5.0,7.0,7.0,7.0,6.0,10.0,20.0,30.0,10.0,10.0,20.0
0.0,1.0,2.0,11.0,15.0,1.0,23.0,4.0,28.0,6.0,4.0,2.0,2.0,4964200.0,2.0,4.0,2.0,16.0,6.0,3.0,6.0,7.0,7.0,7.0,3.0,3.0,4.0,6.0,4.0,4.0,8.0,5.0,7.0,7.0,7.0,6.0,10.0,20.0,30.0,10.0,10.0,20.0
0.0,1.0,2.0,12.0,43.0,1.0,23.0,4.0,28.0,6.0,4.0,2.0,2.0,4964200.0,2.0,4.0,2.0,16.0,6.0,3.0,6.0,7.0,7.0,7.0,3.0,3.0,4.0,6.0,4.0,4.0,8.0,5.0,7.0,7.0,7.0,6.0,10.0,20.0,30.0,10.0,10.0,20.0
0.0,1.0,2.0,13.0,4.0,1.0,24.0,4.0,28.0,6.0,4.0,2.0,2.0,4964200.0,2.0,4.0,2.0,16.0,6.0,3.0,6.0,7.0,7.0,7.0,3.0,3.0,4.0,6.0,4.0,4.0,8.0,5.0,7.0,7.0,7.0,6.0,10.0,20.0,30.0,10.0,10.0,20.0
0.0,1.0,2.0,14.0,-4.0,1.0,23.0,4.0,28.0,6.0,4.0,2.0,2.0,4964200.0,2.0,4.0,2.0,16.0,6.0,3.0,6.0,7.0,7.0,7.0,3.0,3.0,4.0,6.0,4.0,4.0,8.0,5.0,7.0,7.0,7.0,6.0,10.0,20.0,30.0,10.0,10.0,20.0
0.0,1.0,2.0,15.0,3.0,0.0,24.0,2.0,28.0,6.0,4.0,2.0,2.0,4964200.0,2.0,4.0,2.0,16.0,6.0,3.0,6.0,7.0,7.0,7.0,3.0,3.0,4.0,6.0,4.0,4.0,8.0,5.0,7.0,7.0,7.0,6.0,10.0,20.0,30.0,10.0,10.0,20.0
0.0,1.0,2.0,16.0,52.0,0.0,30.0,2.0,28.0,6.0,4.0,2.0,2.0,4964200.0,2.0,4.0,2.0,16.0,6.0,3.0,6.0,7.0,7.0,7.0,3.0,3.0,4.0,6.0,4.0,4.0,8.0,5.0,7.0,7.0,7.0,6.0,10.0,20.0,30.0,10.0,10.0,20.0
