iid_pid,iid,id,gender,idg,condtn,wave,round,position,positin1,order,partner,pid,match,int_corr,samerace,age_o,race_o,pf_o_att,pf_o_sin,pf_o_int,pf_o_fun,pf_o_amb,pf_o_sha,dec_o,attr_o,sinc_o,intel_o,fun_o,amb_o,shar_o,age,field_cd,race,imprace,imprelig,zipcode,income,goal,date,go_out,career_c,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,exphappy,expnum,attr1_1,sinc1_1,intel1_1,fun1_1,amb1_1,shar1_1,IID_PID
6804.0,453.0,14.0,1.0,24.0,2.0,17.0,11.0,2.0,14.0,1.0,10.0,439,0,48.0,0.0,29.0,2.0,20.0,10.0,50.0,5.0,10.0,5.0,0.0,3.0,10.0,10.0,3.0,10.0,0.0,27.0,1.0,4.0,4.0,3.0,210009.0,3788100.0,2.0,6.0,5.0,1.0,6.0,3.0,5.0,6.0,6.0,5.0,6.0,5.0,3.0,6.0,6.0,4.0,7.0,6.0,5.0,4.0,1.0,6.0,1.0,30.0,30.0,30.0,5.0,0.0,5.0,453.0-439
6803.0,453.0,14.0,1.0,24.0,2.0,17.0,11.0,13.0,14.0,10.0,9.0,438,0,31.0,0.0,23.0,2.0,14.0,15.0,16.0,17.0,18.0,20.0,0.0,3.0,9.0,10.0,3.0,10.0,2.0,27.0,1.0,4.0,4.0,3.0,210009.0,3788100.0,2.0,6.0,5.0,1.0,6.0,3.0,5.0,6.0,6.0,5.0,6.0,5.0,3.0,6.0,6.0,4.0,7.0,6.0,5.0,4.0,1.0,6.0,1.0,30.0,30.0,30.0,5.0,0.0,5.0,453.0-438
6802.0,453.0,14.0,1.0,24.0,2.0,17.0,11.0,12.0,14.0,9.0,8.0,437,0,4.0,0.0,23.0,2.0,15.0,15.0,18.0,18.0,14.0,20.0,0.0,6.0,8.0,10.0,6.0,9.0,5.0,27.0,1.0,4.0,4.0,3.0,210009.0,3788100.0,2.0,6.0,5.0,1.0,6.0,3.0,5.0,6.0,6.0,5.0,6.0,5.0,3.0,6.0,6.0,4.0,7.0,6.0,5.0,4.0,1.0,6.0,1.0,30.0,30.0,30.0,5.0,0.0,5.0,453.0-437
6801.0,453.0,14.0,1.0,24.0,2.0,17.0,11.0,6.0,14.0,4.0,7.0,436,0,59.0,0.0,23.0,2.0,28.0,8.0,17.0,22.0,17.0,8.0,0.0,7.0,10.0,8.0,8.0,8.0,7.0,27.0,1.0,4.0,4.0,3.0,210009.0,3788100.0,2.0,6.0,5.0,1.0,6.0,3.0,5.0,6.0,6.0,5.0,6.0,5.0,3.0,6.0,6.0,4.0,7.0,6.0,5.0,4.0,1.0,6.0,1.0,30.0,30.0,30.0,5.0,0.0,5.0,453.0-436
6800.0,453.0,14.0,1.0,24.0,2.0,17.0,11.0,7.0,14.0,5.0,6.0,435,0,-17.0,0.0,22.0,1.0,25.0,5.0,20.0,25.0,15.0,10.0,0.0,2.0,8.0,8.25,5.75,6.75,3.5,27.0,1.0,4.0,4.0,3.0,210009.0,3788100.0,2.0,6.0,5.0,1.0,6.0,3.0,5.0,6.0,6.0,5.0,6.0,5.0,3.0,6.0,6.0,4.0,7.0,6.0,5.0,4.0,1.0,6.0,1.0,30.0,30.0,30.0,5.0,0.0,5.0,453.0-435
6799.0,453.0,14.0,1.0,24.0,2.0,17.0,11.0,4.0,14.0,3.0,5.0,434,0,-22.0,0.0,27.0,2.0,30.0,15.0,15.0,30.0,0.0,10.0,0.0,4.0,8.0,7.0,5.0,5.0,6.0,27.0,1.0,4.0,4.0,3.0,210009.0,3788100.0,2.0,6.0,5.0,1.0,6.0,3.0,5.0,6.0,6.0,5.0,6.0,5.0,3.0,6.0,6.0,4.0,7.0,6.0,5.0,4.0,1.0,6.0,1.0,30.0,30.0,30.0,5.0,0.0,5.0,453.0-434
6798.0,453.0,14.0,1.0,24.0,2.0,17.0,11.0,3.0,14.0,2.0,4.0,433,0,32.0,0.0,30.0,6.0,20.0,20.0,20.0,20.0,10.0,10.0,0.0,2.0,7.0,7.0,2.0,7.0,1.0,27.0,1.0,4.0,4.0,3.0,210009.0,3788100.0,2.0,6.0,5.0,1.0,6.0,3.0,5.0,6.0,6.0,5.0,6.0,5.0,3.0,6.0,6.0,4.0,7.0,6.0,5.0,4.0,1.0,6.0,1.0,30.0,30.0,30.0,5.0,0.0,5.0,453.0-433
6797.0,453.0,14.0,1.0,24.0,2.0,17.0,11.0,11.0,14.0,8.0,3.0,432,1,27.0,0.0,28.0,2.0,15.0,30.0,30.0,10.0,10.0,5.0,1.0,3.0,9.0,10.0,5.0,10.0,10.0,27.0,1.0,4.0,4.0,3.0,210009.0,3788100.0,2.0,6.0,5.0,1.0,6.0,3.0,5.0,6.0,6.0,5.0,6.0,5.0,3.0,6.0,6.0,4.0,7.0,6.0,5.0,4.0,1.0,6.0,1.0,30.0,30.0,30.0,5.0,0.0,5.0,453.0-432
6796.0,453.0,14.0,1.0,24.0,2.0,17.0,11.0,9.0,14.0,7.0,2.0,431,0,19.0,1.0,27.0,4.0,15.0,15.0,25.0,15.0,15.0,15.0,0.0,3.0,8.0,7.0,4.0,4.0,1.0,27.0,1.0,4.0,4.0,3.0,210009.0,3788100.0,2.0,6.0,5.0,1.0,6.0,3.0,5.0,6.0,6.0,5.0,6.0,5.0,3.0,6.0,6.0,4.0,7.0,6.0,5.0,4.0,1.0,6.0,1.0,30.0,30.0,30.0,5.0,0.0,5.0,453.0-431
6795.0,453.0,14.0,1.0,24.0,2.0,17.0,11.0,8.0,14.0,6.0,1.0,430,0,0.0,1.0,22.0,4.0,10.0,25.0,15.0,20.0,15.0,15.0,0.0,4.0,8.0,9.0,8.0,9.0,2.0,27.0,1.0,4.0,4.0,3.0,210009.0,3788100.0,2.0,6.0,5.0,1.0,6.0,3.0,5.0,6.0,6.0,5.0,6.0,5.0,3.0,6.0,6.0,4.0,7.0,6.0,5.0,4.0,1.0,6.0,1.0,30.0,30.0,30.0,5.0,0.0,5.0,453.0-430
6794.0,452.0,13.0,1.0,23.0,2.0,17.0,11.0,2.0,9.0,5.0,10.0,439,0,43.0,0.0,29.0,2.0,20.0,10.0,50.0,5.0,10.0,5.0,0.0,4.0,10.0,10.0,7.0,10.0,3.5,29.0,8.0,4.0,7.0,1.0,10027.0,5508000.0,1.0,5.0,3.0,7.0,9.0,6.0,8.0,7.0,8.0,7.0,8.0,7.0,9.0,8.0,7.0,8.0,9.0,8.0,10.0,5.0,3.0,7.0,0.0,35.0,30.0,25.0,5.0,0.0,5.0,452.0-439
6793.0,452.0,13.0,1.0,23.0,2.0,17.0,11.0,13.0,9.0,4.0,9.0,438,0,3.0,0.0,23.0,2.0,14.0,15.0,16.0,17.0,18.0,20.0,0.0,2.0,7.0,8.0,6.0,10.0,3.0,29.0,8.0,4.0,7.0,1.0,10027.0,5508000.0,1.0,5.0,3.0,7.0,9.0,6.0,8.0,7.0,8.0,7.0,8.0,7.0,9.0,8.0,7.0,8.0,9.0,8.0,10.0,5.0,3.0,7.0,0.0,35.0,30.0,25.0,5.0,0.0,5.0,452.0-438
6792.0,452.0,13.0,1.0,23.0,2.0,17.0,11.0,12.0,9.0,3.0,8.0,437,0,47.0,0.0,23.0,2.0,15.0,15.0,18.0,18.0,14.0,20.0,0.0,7.0,8.0,9.0,8.0,9.0,7.0,29.0,8.0,4.0,7.0,1.0,10027.0,5508000.0,1.0,5.0,3.0,7.0,9.0,6.0,8.0,7.0,8.0,7.0,8.0,7.0,9.0,8.0,7.0,8.0,9.0,8.0,10.0,5.0,3.0,7.0,0.0,35.0,30.0,25.0,5.0,0.0,5.0,452.0-437
6791.0,452.0,13.0,1.0,23.0,2.0,17.0,11.0,6.0,9.0,8.0,7.0,436,0,-4.0,0.0,23.0,2.0,28.0,8.0,17.0,22.0,17.0,8.0,0.0,7.0,10.0,10.0,10.0,8.0,7.0,29.0,8.0,4.0,7.0,1.0,10027.0,5508000.0,1.0,5.0,3.0,7.0,9.0,6.0,8.0,7.0,8.0,7.0,8.0,7.0,9.0,8.0,7.0,8.0,9.0,8.0,10.0,5.0,3.0,7.0,0.0,35.0,30.0,25.0,5.0,0.0,5.0,452.0-436
6790.0,452.0,13.0,1.0,23.0,2.0,17.0,11.0,7.0,9.0,9.0,6.0,435,0,12.0,0.0,22.0,1.0,25.0,5.0,20.0,25.0,15.0,10.0,0.0,1.0,4.0,5.0,4.0,5.0,1.0,29.0,8.0,4.0,7.0,1.0,10027.0,5508000.0,1.0,5.0,3.0,7.0,9.0,6.0,8.0,7.0,8.0,7.0,8.0,7.0,9.0,8.0,7.0,8.0,9.0,8.0,10.0,5.0,3.0,7.0,0.0,35.0,30.0,25.0,5.0,0.0,5.0,452.0-435
6789.0,452.0,13.0,1.0,23.0,2.0,17.0,11.0,4.0,9.0,7.0,5.0,434,0,-1.0,0.0,27.0,2.0,30.0,15.0,15.0,30.0,0.0,10.0,0.0,4.0,7.0,8.0,7.0,8.0,7.0,29.0,8.0,4.0,7.0,1.0,10027.0,5508000.0,1.0,5.0,3.0,7.0,9.0,6.0,8.0,7.0,8.0,7.0,8.0,7.0,9.0,8.0,7.0,8.0,9.0,8.0,10.0,5.0,3.0,7.0,0.0,35.0,30.0,25.0,5.0,0.0,5.0,452.0-434
6788.0,452.0,13.0,1.0,23.0,2.0,17.0,11.0,3.0,9.0,6.0,4.0,433,0,19.0,0.0,30.0,6.0,20.0,20.0,20.0,20.0,10.0,10.0,0.0,1.0,3.0,5.0,2.0,3.0,1.0,29.0,8.0,4.0,7.0,1.0,10027.0,5508000.0,1.0,5.0,3.0,7.0,9.0,6.0,8.0,7.0,8.0,7.0,8.0,7.0,9.0,8.0,7.0,8.0,9.0,8.0,10.0,5.0,3.0,7.0,0.0,35.0,30.0,25.0,5.0,0.0,5.0,452.0-433
6787.0,452.0,13.0,1.0,23.0,2.0,17.0,11.0,11.0,9.0,2.0,3.0,432,1,18.0,0.0,28.0,2.0,15.0,30.0,30.0,10.0,10.0,5.0,1.0,5.0,8.0,10.0,10.0,10.0,5.0,29.0,8.0,4.0,7.0,1.0,10027.0,5508000.0,1.0,5.0,3.0,7.0,9.0,6.0,8.0,7.0,8.0,7.0,8.0,7.0,9.0,8.0,7.0,8.0,9.0,8.0,10.0,5.0,3.0,7.0,0.0,35.0,30.0,25.0,5.0,0.0,5.0,452.0-432
6786.0,452.0,13.0,1.0,23.0,2.0,17.0,11.0,9.0,9.0,1.0,2.0,431,0,-2.0,1.0,27.0,4.0,15.0,15.0,25.0,15.0,15.0,15.0,0.0,7.0,7.0,8.0,8.0,8.0,3.0,29.0,8.0,4.0,7.0,1.0,10027.0,5508000.0,1.0,5.0,3.0,7.0,9.0,6.0,8.0,7.0,8.0,7.0,8.0,7.0,9.0,8.0,7.0,8.0,9.0,8.0,10.0,5.0,3.0,7.0,0.0,35.0,30.0,25.0,5.0,0.0,5.0,452.0-431
6785.0,452.0,13.0,1.0,23.0,2.0,17.0,11.0,8.0,9.0,10.0,1.0,430,0,21.0,1.0,22.0,4.0,10.0,25.0,15.0,20.0,15.0,15.0,0.0,4.0,8.0,9.0,8.0,9.0,2.0,29.0,8.0,4.0,7.0,1.0,10027.0,5508000.0,1.0,5.0,3.0,7.0,9.0,6.0,8.0,7.0,8.0,7.0,8.0,7.0,9.0,8.0,7.0,8.0,9.0,8.0,10.0,5.0,3.0,7.0,0.0,35.0,30.0,25.0,5.0,0.0,5.0,452.0-430
6784.0,451.0,12.0,1.0,22.0,2.0,17.0,11.0,2.0,13.0,2.0,10.0,439,0,22.0,0.0,29.0,2.0,20.0,10.0,50.0,5.0,10.0,5.0,0.0,0.0,10.0,10.0,3.0,10.0,5.0,30.0,8.0,4.0,3.0,1.0,650206.0,3788100.0,2.0,3.0,3.0,7.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,3.0,6.0,7.0,5.0,7.0,7.0,8.0,6.0,6.0,3.0,1.0,20.0,40.0,5.0,20.0,5.0,10.0,451.0-439
6783.0,451.0,12.0,1.0,22.0,2.0,17.0,11.0,13.0,13.0,1.0,9.0,438,0,44.0,0.0,23.0,2.0,14.0,15.0,16.0,17.0,18.0,20.0,0.0,2.0,7.0,10.0,2.0,10.0,2.0,30.0,8.0,4.0,3.0,1.0,650206.0,3788100.0,2.0,3.0,3.0,7.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,3.0,6.0,7.0,5.0,7.0,7.0,8.0,6.0,6.0,3.0,1.0,20.0,40.0,5.0,20.0,5.0,10.0,451.0-438
6782.0,451.0,12.0,1.0,22.0,2.0,17.0,11.0,12.0,13.0,10.0,8.0,437,0,44.0,0.0,23.0,2.0,15.0,15.0,18.0,18.0,14.0,20.0,0.0,6.0,8.0,10.0,7.0,10.0,8.0,30.0,8.0,4.0,3.0,1.0,650206.0,3788100.0,2.0,3.0,3.0,7.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,3.0,6.0,7.0,5.0,7.0,7.0,8.0,6.0,6.0,3.0,1.0,20.0,40.0,5.0,20.0,5.0,10.0,451.0-437
