iid_pid,iid,id,gender,idg,condtn,partner,pid,int_corr,samerace,age_o,race_o,pf_o_att,pf_o_sin,pf_o_int,pf_o_fun,pf_o_amb,pf_o_sha,attr_o,sinc_o,intel_o,fun_o,amb_o,shar_o,age,field_cd,race,imprace,imprelig,zipcode,income,goal,date,go_out,career_c,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,exphappy,attr1_1,sinc1_1,intel1_1,fun1_1,amb1_1,shar1_1,IID_PID
6805.0,509.0,1.0,0.0,1.0,2.0,1.0,531,-12.0,1.0,25.0,4.0,15.0,30.0,20.0,20.0,10.0,5.0,7.0,10.0,10.0,10.0,10.0,8.0,28.0,6.0,4.0,2.0,2.0,10594.0,4964200.0,2.0,4.0,2.0,16.0,6.0,3.0,6.0,7.0,7.0,7.0,3.0,3.0,4.0,6.0,4.0,4.0,8.0,5.0,7.0,7.0,7.0,6.0,10.0,20.0,30.0,10.0,10.0,20.0,531-509.0
6806.0,509.0,1.0,0.0,1.0,2.0,2.0,532,3.0,1.0,26.0,4.0,25.0,20.0,20.0,20.0,5.0,10.0,6.0,7.0,8.0,6.0,8.0,8.0,28.0,6.0,4.0,2.0,2.0,10594.0,4964200.0,2.0,4.0,2.0,16.0,6.0,3.0,6.0,7.0,7.0,7.0,3.0,3.0,4.0,6.0,4.0,4.0,8.0,5.0,7.0,7.0,7.0,6.0,10.0,20.0,30.0,10.0,10.0,20.0,532-509.0
6807.0,509.0,1.0,0.0,1.0,2.0,3.0,533,37.0,0.0,26.0,2.0,25.0,25.0,25.0,13.0,12.0,0.0,6.0,5.75,7.0,5.0,5.0,6.0,28.0,6.0,4.0,2.0,2.0,10594.0,4964200.0,2.0,4.0,2.0,16.0,6.0,3.0,6.0,7.0,7.0,7.0,3.0,3.0,4.0,6.0,4.0,4.0,8.0,5.0,7.0,7.0,7.0,6.0,10.0,20.0,30.0,10.0,10.0,20.0,533-509.0
6808.0,509.0,1.0,0.0,1.0,2.0,4.0,534,11.0,0.0,24.0,6.0,30.0,30.0,30.0,5.0,2.0,3.0,6.0,5.0,4.0,6.0,6.0,6.0,28.0,6.0,4.0,2.0,2.0,10594.0,4964200.0,2.0,4.0,2.0,16.0,6.0,3.0,6.0,7.0,7.0,7.0,3.0,3.0,4.0,6.0,4.0,4.0,8.0,5.0,7.0,7.0,7.0,6.0,10.0,20.0,30.0,10.0,10.0,20.0,534-509.0
6809.0,509.0,1.0,0.0,1.0,2.0,5.0,535,39.0,0.0,23.0,2.0,23.0,14.0,19.0,16.0,10.0,18.0,6.0,8.0,8.0,6.0,7.0,6.0,28.0,6.0,4.0,2.0,2.0,10594.0,4964200.0,2.0,4.0,2.0,16.0,6.0,3.0,6.0,7.0,7.0,7.0,3.0,3.0,4.0,6.0,4.0,4.0,8.0,5.0,7.0,7.0,7.0,6.0,10.0,20.0,30.0,10.0,10.0,20.0,535-509.0
6810.0,509.0,1.0,0.0,1.0,2.0,6.0,536,84.0,0.0,29.0,2.0,30.0,20.0,20.0,20.0,10.0,0.0,6.0,7.0,6.0,4.0,8.0,3.0,28.0,6.0,4.0,2.0,2.0,10594.0,4964200.0,2.0,4.0,2.0,16.0,6.0,3.0,6.0,7.0,7.0,7.0,3.0,3.0,4.0,6.0,4.0,4.0,8.0,5.0,7.0,7.0,7.0,6.0,10.0,20.0,30.0,10.0,10.0,20.0,536-509.0
6811.0,509.0,1.0,0.0,1.0,2.0,7.0,537,67.0,1.0,22.0,4.0,20.0,5.0,25.0,25.0,5.0,20.0,7.0,8.0,9.0,8.0,8.0,8.0,28.0,6.0,4.0,2.0,2.0,10594.0,4964200.0,2.0,4.0,2.0,16.0,6.0,3.0,6.0,7.0,7.0,7.0,3.0,3.0,4.0,6.0,4.0,4.0,8.0,5.0,7.0,7.0,7.0,6.0,10.0,20.0,30.0,10.0,10.0,20.0,537-509.0
6812.0,509.0,1.0,0.0,1.0,2.0,8.0,538,36.0,0.0,32.0,2.0,50.0,0.0,10.0,30.0,0.0,10.0,7.0,7.0,9.0,8.0,7.0,8.0,28.0,6.0,4.0,2.0,2.0,10594.0,4964200.0,2.0,4.0,2.0,16.0,6.0,3.0,6.0,7.0,7.0,7.0,3.0,3.0,4.0,6.0,4.0,4.0,8.0,5.0,7.0,7.0,7.0,6.0,10.0,20.0,30.0,10.0,10.0,20.0,538-509.0
6813.0,509.0,1.0,0.0,1.0,2.0,9.0,539,58.0,0.0,22.0,2.0,30.0,10.0,20.0,15.0,15.0,10.0,1.0,6.0,5.0,5.0,4.0,3.0,28.0,6.0,4.0,2.0,2.0,10594.0,4964200.0,2.0,4.0,2.0,16.0,6.0,3.0,6.0,7.0,7.0,7.0,3.0,3.0,4.0,6.0,4.0,4.0,8.0,5.0,7.0,7.0,7.0,6.0,10.0,20.0,30.0,10.0,10.0,20.0,539-509.0
6814.0,509.0,1.0,0.0,1.0,2.0,10.0,540,1.0,0.0,24.0,2.0,20.0,15.0,20.0,20.0,15.0,10.0,6.0,7.0,6.0,5.0,3.0,3.0,28.0,6.0,4.0,2.0,2.0,10594.0,4964200.0,2.0,4.0,2.0,16.0,6.0,3.0,6.0,7.0,7.0,7.0,3.0,3.0,4.0,6.0,4.0,4.0,8.0,5.0,7.0,7.0,7.0,6.0,10.0,20.0,30.0,10.0,10.0,20.0,540-509.0
6815.0,509.0,1.0,0.0,1.0,2.0,11.0,541,15.0,1.0,23.0,4.0,40.0,30.0,0.0,20.0,0.0,10.0,5.25,6.25,6.5,6.0,7.25,6.25,28.0,6.0,4.0,2.0,2.0,10594.0,4964200.0,2.0,4.0,2.0,16.0,6.0,3.0,6.0,7.0,7.0,7.0,3.0,3.0,4.0,6.0,4.0,4.0,8.0,5.0,7.0,7.0,7.0,6.0,10.0,20.0,30.0,10.0,10.0,20.0,541-509.0
6816.0,509.0,1.0,0.0,1.0,2.0,12.0,542,43.0,1.0,23.0,4.0,25.0,15.0,20.0,20.0,10.0,10.0,2.0,4.0,6.0,4.0,9.0,4.0,28.0,6.0,4.0,2.0,2.0,10594.0,4964200.0,2.0,4.0,2.0,16.0,6.0,3.0,6.0,7.0,7.0,7.0,3.0,3.0,4.0,6.0,4.0,4.0,8.0,5.0,7.0,7.0,7.0,6.0,10.0,20.0,30.0,10.0,10.0,20.0,542-509.0
6817.0,509.0,1.0,0.0,1.0,2.0,13.0,543,4.0,1.0,24.0,4.0,20.0,16.0,16.0,17.0,16.0,15.0,5.5,7.5,7.0,5.5,6.5,4.5,28.0,6.0,4.0,2.0,2.0,10594.0,4964200.0,2.0,4.0,2.0,16.0,6.0,3.0,6.0,7.0,7.0,7.0,3.0,3.0,4.0,6.0,4.0,4.0,8.0,5.0,7.0,7.0,7.0,6.0,10.0,20.0,30.0,10.0,10.0,20.0,543-509.0
6818.0,509.0,1.0,0.0,1.0,2.0,14.0,544,-4.0,1.0,23.0,4.0,15.0,25.0,20.0,10.0,10.0,20.0,6.0,8.0,7.0,6.0,7.0,5.0,28.0,6.0,4.0,2.0,2.0,10594.0,4964200.0,2.0,4.0,2.0,16.0,6.0,3.0,6.0,7.0,7.0,7.0,3.0,3.0,4.0,6.0,4.0,4.0,8.0,5.0,7.0,7.0,7.0,6.0,10.0,20.0,30.0,10.0,10.0,20.0,544-509.0
6819.0,509.0,1.0,0.0,1.0,2.0,15.0,545,3.0,0.0,24.0,2.0,20.0,20.0,20.0,20.0,10.0,10.0,4.0,8.0,7.0,5.0,8.0,2.0,28.0,6.0,4.0,2.0,2.0,10594.0,4964200.0,2.0,4.0,2.0,16.0,6.0,3.0,6.0,7.0,7.0,7.0,3.0,3.0,4.0,6.0,4.0,4.0,8.0,5.0,7.0,7.0,7.0,6.0,10.0,20.0,30.0,10.0,10.0,20.0,545-509.0
6820.0,509.0,1.0,0.0,1.0,2.0,16.0,546,52.0,0.0,30.0,2.0,35.0,10.0,20.0,25.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,7.0,28.0,6.0,4.0,2.0,2.0,10594.0,4964200.0,2.0,4.0,2.0,16.0,6.0,3.0,6.0,7.0,7.0,7.0,3.0,3.0,4.0,6.0,4.0,4.0,8.0,5.0,7.0,7.0,7.0,6.0,10.0,20.0,30.0,10.0,10.0,20.0,546-509.0
6821.0,509.0,1.0,0.0,1.0,2.0,17.0,547,58.0,0.0,30.0,2.0,25.0,20.0,20.0,20.0,0.0,15.0,5.0,6.0,7.0,5.0,7.0,4.0,28.0,6.0,4.0,2.0,2.0,10594.0,4964200.0,2.0,4.0,2.0,16.0,6.0,3.0,6.0,7.0,7.0,7.0,3.0,3.0,4.0,6.0,4.0,4.0,8.0,5.0,7.0,7.0,7.0,6.0,10.0,20.0,30.0,10.0,10.0,20.0,547-509.0
6822.0,509.0,1.0,0.0,1.0,2.0,18.0,548,23.0,0.0,30.0,2.0,40.0,10.0,20.0,10.0,0.0,20.0,5.0,5.0,7.0,7.0,7.0,9.0,28.0,6.0,4.0,2.0,2.0,10594.0,4964200.0,2.0,4.0,2.0,16.0,6.0,3.0,6.0,7.0,7.0,7.0,3.0,3.0,4.0,6.0,4.0,4.0,8.0,5.0,7.0,7.0,7.0,6.0,10.0,20.0,30.0,10.0,10.0,20.0,548-509.0
6823.0,509.0,1.0,0.0,1.0,2.0,19.0,549,43.0,0.0,28.0,2.0,20.0,20.0,20.0,20.0,0.0,20.0,1.0,6.0,6.0,4.0,6.0,4.0,28.0,6.0,4.0,2.0,2.0,10594.0,4964200.0,2.0,4.0,2.0,16.0,6.0,3.0,6.0,7.0,7.0,7.0,3.0,3.0,4.0,6.0,4.0,4.0,8.0,5.0,7.0,7.0,7.0,6.0,10.0,20.0,30.0,10.0,10.0,20.0,549-509.0
6824.0,509.0,1.0,0.0,1.0,2.0,20.0,550,65.0,0.0,30.0,2.0,30.0,3.0,30.0,30.0,3.0,4.0,7.0,6.0,7.0,5.0,7.0,5.0,28.0,6.0,4.0,2.0,2.0,10594.0,4964200.0,2.0,4.0,2.0,16.0,6.0,3.0,6.0,7.0,7.0,7.0,3.0,3.0,4.0,6.0,4.0,4.0,8.0,5.0,7.0,7.0,7.0,6.0,10.0,20.0,30.0,10.0,10.0,20.0,550-509.0
6825.0,509.0,1.0,0.0,1.0,2.0,21.0,551,62.0,0.0,27.0,1.0,40.0,20.0,20.0,20.0,0.0,0.0,5.0,7.0,8.0,7.0,8.0,7.0,28.0,6.0,4.0,2.0,2.0,10594.0,4964200.0,2.0,4.0,2.0,16.0,6.0,3.0,6.0,7.0,7.0,7.0,3.0,3.0,4.0,6.0,4.0,4.0,8.0,5.0,7.0,7.0,7.0,6.0,10.0,20.0,30.0,10.0,10.0,20.0,551-509.0
6826.0,509.0,1.0,0.0,1.0,2.0,22.0,552,68.0,0.0,25.0,2.0,70.0,0.0,15.0,15.0,0.0,0.0,7.0,7.0,9.0,8.0,9.0,7.0,28.0,6.0,4.0,2.0,2.0,10594.0,4964200.0,2.0,4.0,2.0,16.0,6.0,3.0,6.0,7.0,7.0,7.0,3.0,3.0,4.0,6.0,4.0,4.0,8.0,5.0,7.0,7.0,7.0,6.0,10.0,20.0,30.0,10.0,10.0,20.0,552-509.0
6827.0,510.0,2.0,0.0,3.0,2.0,1.0,531,17.0,0.0,25.0,4.0,15.0,30.0,20.0,20.0,10.0,5.0,10.0,5.0,5.0,5.0,7.0,8.0,26.0,8.0,3.0,3.0,3.0,106695.75,5057200.0,2.0,7.0,2.0,2.0,8.0,1.0,4.0,10.0,8.0,7.0,10.0,5.0,7.0,9.0,1.0,3.0,9.0,7.0,5.0,1.0,7.0,5.0,25.0,25.0,25.0,12.0,3.0,10.0,531-510.0
6828.0,510.0,2.0,0.0,3.0,2.0,2.0,532,4.0,0.0,26.0,4.0,25.0,20.0,20.0,20.0,5.0,10.0,6.0,7.0,7.0,7.0,5.0,5.0,26.0,8.0,3.0,3.0,3.0,10594.0,5057200.0,2.0,7.0,2.0,2.0,8.0,1.0,4.0,10.0,8.0,7.0,10.0,5.0,7.0,9.0,1.0,3.0,9.0,7.0,5.0,1.0,7.0,5.0,25.0,25.0,25.0,12.0,3.0,10.0,532-510.0
